Site_name	Complexity	Nursery	Type	Mod_pred_biomass_5	Mod_herb_biomass_5	Mod_inv_biomass	Pred_Fprod	Herb_Fprod
Aquarius	Yes	X8	4	136.3396356	28.62610976	11.47521213	36.58465433	5.198555073
Forest	Yes	X8	4	121.2608506	24.50496431	11.98669348	37.02371328	4.347048369
Kalabas	Yes	X8	4	137.6447842	33.83191327	9.992200291	25.51062192	5.471385001
Karpata	Yes	X8	4	102.7035927	24.69267903	12.83221429	28.74736519	4.823817086
Mi_Dushi	Yes	X8	4	129.3747862	20.00670806	15.69988429	60.51077137	2.907163967
Oil_Slick_Leap	Yes	X8	4	117.8459484	30.21699858	11.74039154	27.73910801	5.55042541
Playa_Funchi	Yes	X8	4	98.56078273	21.87198307	18.33442166	47.01970758	5.473435369
Aquarius_nc	No	X8	3	50.94221763	11.627059	23.0376978	24.36256299	0.473790164
Forest_nc	No	X8	3	51.9464034	11.98450556	22.24894796	23.77534201	0.426183881
Kalabas_nc	No	X8	3	52.90965074	11.72281239	21.79404211	21.011097	0.417240092
Karpata_nc	No	X8	3	50.25279242	10.68587723	24.39011328	22.98016432	0.57297379
Mi_Dushi_nc	No	X8	3	52.61224994	12.69894149	22.7088918	28.29123676	0.378426648
Oil_Slick_Leap_nc	No	X8	3	50.38232933	10.67399597	24.48575824	23.03225587	0.573378145
Playa_Funchi_nc	No	X8	3	47.92596926	9.045050713	28.89964125	26.44413344	0.91927828
Aquarius	Yes	X9	4	116.5781448	44.76979958	9.834404212	25.82043792	6.791267344
Forest	Yes	X9	4	104.3020628	36.463261	10.40085577	26.12207741	5.749305533
Kalabas	Yes	X9	4	117.8003488	52.75595679	9.287253453	20.36160636	7.070300845
Karpata	Yes	X9	4	87.59148491	37.59067843	11.62427905	21.94307327	6.273445702
Mi_Dushi	Yes	X9	4	111.3413724	31.27927948	13.36359378	43.54037096	4.580355335
Oil_Slick_Leap	Yes	X9	4	100.4179194	47.66342495	10.84206832	22.54769017	7.116528068
Playa_Funchi	Yes	X9	4	84.93678411	32.40046734	16.16211197	36.59590586	6.732660552
Aquarius_nc	No	X9	3	39.82109036	16.61697695	23.41635184	17.35488945	1.703779488
Forest_nc	No	X9	3	40.81455892	16.76148504	22.55887574	16.65357038	1.565154465
Kalabas_nc	No	X9	3	41.38602624	16.39506917	22.63197965	15.18042201	1.542629845
Karpata_nc	No	X9	3	39.60170682	16.00974228	24.99490755	16.32886883	1.885816498
Mi_Dushi_nc	No	X9	3	40.99242115	17.66084425	22.43356808	20.50019142	1.50236957
Oil_Slick_Leap_nc	No	X9	3	39.72625352	16.01708198	25.07507513	16.33303652	1.887489812
Playa_Funchi_nc	No	X9	3	37.08003269	15.45942019	30.04314432	19.68531867	2.657866345
Aquarius	Yes	X10	4	136.1687906	29.69872207	11.53585843	37.1804741	5.319604889
Forest	Yes	X10	4	121.261188	25.27160795	12.03264877	37.47571364	4.448659818
Kalabas	Yes	X10	4	137.3731905	35.17831159	10.09601092	26.20837185	5.599973136
Karpata	Yes	X10	4	102.592651	25.72251142	12.8613817	29.14175805	4.958601071
Mi_Dushi	Yes	X10	4	129.2899126	20.86832205	15.73773284	60.96194747	3.050985715
Oil_Slick_Leap	Yes	X10	4	117.648583	31.57060781	11.81966123	28.37974363	5.690050718
Playa_Funchi	Yes	X10	4	98.58558116	22.82251039	18.30679571	47.35063556	5.609157437
Aquarius_nc	No	X10	3	51.07159441	12.27235347	23.01198612	24.44792411	0.669669482
Forest_nc	No	X10	3	52.07260975	12.60311263	22.23121355	23.86699292	0.607731906
Kalabas_nc	No	X10	3	53.02603667	12.32398218	21.76370803	21.09537075	0.595782332
Karpata_nc	No	X10	3	50.39823517	11.41750241	24.30456331	23.0637911	0.795644968
Mi_Dushi_nc	No	X10	3	52.74242789	13.31223278	22.72220533	28.41188923	0.548189333
Oil_Slick_Leap_nc	No	X10	3	50.52666658	11.41072751	24.40090456	23.12072714	0.797165164
Playa_Funchi_nc	No	X10	3	48.06689438	9.999131324	28.79932606	26.53715014	1.241911661
Aquarius	Yes	X13	4	120.6165565	37.43932434	9.840614481	25.16013653	6.110976474
Forest	Yes	X13	4	106.9833333	30.94432938	10.42982536	25.80613019	5.140350455
Kalabas	Yes	X13	4	122.3810534	43.67821929	9.20679346	19.57662871	6.316915971
Karpata	Yes	X13	4	90.78099588	30.95673887	11.72010446	21.60101015	5.528419089
Mi_Dushi	Yes	X13	4	114.4189371	25.17817078	13.4833519	43.68598988	3.741046396
Oil_Slick_Leap	Yes	X13	4	104.3894201	38.99159034	10.7442991	21.33017165	6.346699462
Playa_Funchi	Yes	X13	4	87.24997608	26.31581747	16.59938626	36.9211564	5.995213253
Aquarius_nc	No	X13	3	40.8281638	12.82770161	23.52800366	17.90907089	0.693621718
Forest_nc	No	X13	3	41.85127676	13.11962328	22.63982746	17.19083041	0.620736477
Kalabas_nc	No	X13	3	42.49421556	12.84660548	22.70082411	15.66657805	0.609742267
Karpata_nc	No	X13	3	40.60092505	12.02008206	25.25802858	16.85284927	0.800192061
Mi_Dushi_nc	No	X13	3	42.02695246	13.85648658	22.45712302	20.98514354	0.568737938
Oil_Slick_Leap_nc	No	X13	3	40.73983226	12.00215165	25.34349766	16.83974735	0.798072478
